Doctor Name,Speciality,Professional Degree,Consultation Time,Available days,Contact,Email,Location
Dr. Praveen Kesav R,Consultant Interventional Radiologis,"MBBS, MD",9.30AM to 1.30 PM,Available all days,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. V E Krishna Mohan,HOD/ Consultant,MD (Pathology),9.30AM to 1.30 PM,Available all days,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. Ilma Kunju Mohamed,Consultant Pathologist,MD (Pathology),9.30AM to 1.30 PM,Available all days,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. Arun Pareeth,Consultant Urologist,"MBBS, MS (Gen Sur), MCH (Urology)",10AM - 3PM,Available all days,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. T Saravanan,Consultant Urologist,"MS (Gen Surgery), MCH (Urology)",4PM - 7PM,Available all days,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. Ashish S Nair,Consultant Urologist,"MBBS, MS (Gen Surgery), MCH (Genito - Urinary Surgery)",2PM to 4PM,Available all days,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
G SATHISH KUMAR,Consultant Urologist,"MBBS,MS(Gen Surg),MCh(Urology)",2PM to 4PM,Available all days,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr.Poornima Venugopal,Consultant Paediatric Intensive Care,"MBBS,MD(paed),IDPCCM",10.30am to 1pm,Available all days,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr.Veena Surendran,Consultant Paediatric Intensive Care,"MBBS,MD(paed),DNB (Paed),IDPCCM",1.30pm to 4pm,Available all days,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr. Aswathy Jayachandran,Consultant Pathologist,"MBBS,MD(Pathology)",1.30pm to 4pm,Available all days,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
DR.AISHWARYA M S,Consultant Pathologist,"MBBS,MD(Pathology)",1.30pm to 4pm,Available all days,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr.ASHAMOL AKBAR,Consultant Pathologist,"MBBS,MD(Pathology)",1.30pm to 4pm,Available all days,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr Arathi Sureshkumar,Consultant Pathologist,"MBBS,MD(Pathology)",1.30pm to 4pm,Available all days,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
Dr.Jithu Subash Babu,Interventional Radiology,"MBBS,MD(RD), Post Doctoral Fellowship in Endovascular and Vascular IR(FENVIR)",9am to 5pm,Available all days,+4712344443; +4712525252; +4714073333; +914712344443; +914712525252; +914714073333,admin@prshospital.com,"Killipalam, Trivandrum"
